,コード,銘柄名,33業種コード,33業種区分
0,1301,極洋,50,水産・農林業
5,130A,Veritas　In　Silico,3250,医薬品
8,131A,CCNグループ,5250,情報・通信業
16,132A,アイエヌホールディングス,5050,陸運業
18,1332,ニッスイ,50,水産・農林業
19,1333,Umios,50,水産・農林業
26,134A,アプライズ,9050,サービス業
30,135A,VRAIN　Solution,5250,情報・通信業
38,136A,三興商事,2050,建設業
39,1375,ユキグニファクトリー,50,水産・農林業
40,1376,カネコ種苗,50,水産・農林業
41,1377,サカタのタネ,50,水産・農林業
42,1379,ホクト,50,水産・農林業
43,137A,Cocolive,5250,情報・通信業
44,1380,秋川牧園,50,水産・農林業
45,1381,アクシーズ,50,水産・農林業
46,1382,ホーブ,50,水産・農林業
47,1383,ベルグアース,50,水産・農林業
48,1384,ホクリヨウ,50,水産・農林業
49,138A,光フードサービス,6100,小売業
53,139A,東日本地所,8050,不動産業
54,1401,エムビーエス,2050,建設業
55,1407,ウエストホールディングス,2050,建設業
57,1414,ショーボンドホールディングス,2050,建設業
58,1417,ミライト・ワン,2050,建設業
59,1418,インターライフホールディングス,2050,建設業
60,1419,タマホーム,2050,建設業
61,141A,トライアルホールディングス,6100,小売業
62,1420,サンヨーホームズ,2050,建設業
63,1429,日本アクア,2050,建設業
64,142A,ジンジブ,9050,サービス業
65,1430,ファーストコーポレーション,2050,建設業
66,1431,Lib　Work,2050,建設業
67,1432,動力,2050,建設業
68,1433,ベステラ,2050,建設業
69,1434,JESCOホールディングス,2050,建設業
70,1435,robot　home,8050,不動産業
71,1436,グリーンエナジー&カンパニー,2050,建設業
72,1438,岐阜造園,2050,建設業
73,143A,イシン,9050,サービス業
74,1443,技研ホールディングス,2050,建設業
75,1444,ニッソウ,2050,建設業
76,1445,ひかりホールディングス,2050,建設業
77,1446,キャンディル,2050,建設業
78,1447,SAAFホールディングス,2050,建設業
79,144A,エネルギーパワー,2050,建設業
80,1450,TANAKEN,2050,建設業
81,1452,横浜ライト工業,2050,建設業
86,145A,L　is　B,5250,情報・通信業
89,146A,コロンビア・ワークス,8050,不動産業
98,147A,ソラコム,5250,情報・通信業
109,148A,ハッチ・ワーク,5250,情報・通信業
111,1491,中外鉱業,3500,非鉄金属
119,149A,シンカ,5250,情報・通信業
120,150A,JSH,9050,サービス業
121,1514,住石ホールディングス,1050,鉱業
122,1515,日鉄鉱業,1050,鉱業
123,1518,三井松島ホールディングス,3800,その他製品
124,151A,ダイブ,9050,サービス業
125,152A,オプティ,6050,卸売業
126,153A,カウリス,5250,情報・通信業
134,154A,GAIA,7200,その他金融業
141,155A,情報戦略テクノロジー,5250,情報・通信業
147,156A,マテリアルグループ,9050,サービス業
155,157A,グリーンモンスター,9050,サービス業
159,158A,エクセリ,6100,小売業
168,1605,INPEX,1050,鉱業
169,160A,アズパートナーズ,9050,サービス業
174,161A,三葉,9050,サービス業
191,164A,アップルパーク,8050,不動産業
202,1662,石油資源開発,1050,鉱業
203,1663,K&Oエナジーグループ,1050,鉱業
204,166A,タスキホールディングス,8050,不動産業
214,167A,リョーサン菱洋ホールディングス,6050,卸売業
223,168A,イタミアート,3800,その他製品
235,1711,SDSホールディングス,2050,建設業
236,1716,第一カッター興業,2050,建設業
237,1717,明豊ファシリティワークス,9050,サービス業
238,1718,美樹工業,2050,建設業
239,1719,安藤・間,2050,建設業
240,171A,ゼロジャパン,6050,卸売業
241,1720,東急建設,2050,建設業
242,1721,コムシスホールディングス,2050,建設業
243,1723,日本電技,2050,建設業
244,1724,シンクレイヤ,2050,建設業
245,1726,ビーアールホールディングス,2050,建設業
246,172A,ネオホーム,8050,不動産業
247,1736,オーテック,2050,建設業
248,173A,ハンモック,5250,情報・通信業
249,1758,太洋基礎工業,2050,建設業
250,175A,Will　Smart,5250,情報・通信業
251,1762,高松コンストラクショングループ,2050,建設業
252,1764,工藤建設,2050,建設業
253,1766,東建コーポレーション,2050,建設業
254,1768,ソネック,2050,建設業
255,1770,藤田エンジニアリング,2050,建設業
256,1773,ワイ・ティー・エル・コーポレーション・バーハッド,2050,建設業
257,1776,三井住建道路,2050,建設業
258,177A,コージンバイオ,3200,化学
259,1780,ヤマウラ,2050,建設業
260,1783,fantasista,8050,不動産業
261,1786,オリエンタル白石,2050,建設業
262,1787,ナカボーテック,2050,建設業
263,1788,三東工業社,2050,建設業
265,1793,大本組,2050,建設業
266,1795,マサル,2050,建設業
267,1798,守谷商会,2050,建設業
268,1799,第一建設工業,2050,建設業
270,1801,大成建設,2050,建設業
271,1802,大林組,2050,建設業
272,1803,清水建設,2050,建設業
273,1807,佐藤渡辺,2050,建設業
274,1808,長谷工コーポレーション,2050,建設業
276,1810,松井建設,2050,建設業
277,1811,錢高組,2050,建設業
278,1812,鹿島建設,2050,建設業
279,1813,不動テトラ,2050,建設業
280,1814,大末建設,2050,建設業
281,1815,鉄建建設,2050,建設業
283,1820,西松建設,2050,建設業
284,1822,大豊建設,2050,建設業
285,1826,佐田建設,2050,建設業
286,1827,ナカノフドー建設,2050,建設業
287,1828,田辺工業,2050,建設業
289,1833,奥村組,2050,建設業
290,1835,東鉄工業,2050,建設業
292,1840,土屋ホールディングス,2050,建設業
293,1844,大盛工業,2050,建設業
294,1847,イチケン,2050,建設業
295,1848,富士ピー・エス,2050,建設業
296,184A,学びエイド,5250,情報・通信業
297,1850,南海辰村建設,2050,建設業
298,1852,淺沼組,2050,建設業
299,1853,森組,2050,建設業
300,185A,リサイクルテック・ジャパン,9050,サービス業
301,1860,戸田建設,2050,建設業
302,1861,熊谷組,2050,建設業
303,1866,北野建設,2050,建設業
304,1867,植木組,2050,建設業
305,186A,アストロスケールホールディングス,9050,サービス業
306,1870,矢作建設工業,2050,建設業
307,1871,ピーエス・コンストラクション,2050,建設業
308,1873,日本ハウスホールディングス,2050,建設業
309,1878,大東建託,8050,不動産業
310,1879,新日本建設,2050,建設業
311,1882,東亜道路工業,2050,建設業
312,1885,東亜建設工業,2050,建設業
313,1887,日本国土開発,2050,建設業
314,1888,若築建設,2050,建設業
316,1893,五洋建設,2050,建設業
317,1897,金下建設,2050,建設業
318,1898,世紀東急工業,2050,建設業
319,1899,福田組,2050,建設業
320,189A,D&Mカンパニー,9050,サービス業
321,1904,大成温調,2050,建設業
322,1905,テノックス,2050,建設業
323,1909,日本ドライケミカル,3600,機械
324,190A,Chordia　Therapeutics,3250,医薬品
325,1911,住友林業,2050,建設業
326,1914,日本基礎技術,2050,建設業
327,191A,ミモザ,9050,サービス業
328,1921,巴コーポレーション,2050,建設業
329,1925,大和ハウス工業,2050,建設業
330,1926,ライト工業,2050,建設業
331,1928,積水ハウス,2050,建設業
332,1929,日特建設,2050,建設業
333,192A,インテグループ,9050,サービス業
334,1930,北陸電気工事,2050,建設業
335,1934,ユアテック,2050,建設業
336,1938,日本リーテック,2050,建設業
337,1939,四電工,2050,建設業
338,1941,中電工,2050,建設業
339,1942,関電工,2050,建設業
340,1944,きんでん,2050,建設業
341,1945,東京エネシス,2050,建設業
342,1946,トーエネック,2050,建設業
343,1948,弘電社,2050,建設業
344,194A,WOLVES　HAND,9050,サービス業
345,1950,日本電設工業,2050,建設業
346,1951,エクシオグループ,2050,建設業
347,1952,新日本空調,2050,建設業
348,1959,クラフティア,2050,建設業
349,195A,MUSCAT　GROUP,9050,サービス業
350,1960,サンテック,2050,建設業
351,1961,三機工業,2050,建設業
352,1963,日揮ホールディングス,2050,建設業
353,1964,中外炉工業,2050,建設業
354,1965,テクノ菱和,2050,建設業
355,1966,高田工業所,2050,建設業
356,1967,ヤマト,2050,建設業
357,1968,太平電業,2050,建設業
358,1969,高砂熱学工業,2050,建設業
359,196A,MFS,7200,その他金融業
360,1972,三晃金属工業,2050,建設業
361,1975,朝日工業社,2050,建設業
362,1976,明星工業,2050,建設業
363,1979,大氣社,2050,建設業
364,197A,タウンズ,3250,医薬品
365,1980,ダイダン,2050,建設業
366,1981,協和日成,2050,建設業
367,1982,日比谷総合設備,2050,建設業
368,198A,PostPrime,5250,情報・通信業
369,1992,神田通信機,2050,建設業
370,1994,高橋カーテンウォール工業,2050,建設業
371,1997,暁飯島工業,2050,建設業
372,199A,メディエア,5250,情報・通信業
373,2001,ニップン,3050,食料品
374,2002,日清製粉グループ本社,3050,食料品
375,2003,日東富士製粉,3050,食料品
376,2004,昭和産業,3050,食料品
377,2009,鳥越製粉,3050,食料品
389,202A,豆蔵,5250,情報・通信業
398,203A,シュンビン,9050,サービス業
408,204A,タイヨーパッケージ,3150,パルプ・紙
410,2053,中部飼料,3050,食料品
411,2055,日和産業,3050,食料品
412,205A,ロゴスホールディングス,2050,建設業
413,2060,フィード・ワン,3050,食料品
419,206A,PRISM　BioLab,3250,医薬品
424,207A,ライジングコーポレーション,2050,建設業
435,208A,構造計画研究所ホールディングス,5250,情報・通信業
445,209A,小野谷機工,3600,機械
446,2108,日本甜菜製糖,3050,食料品
447,2109,DM三井製糖,3050,食料品
449,2112,塩水港精糖,3050,食料品
450,2114,フジ日本,3050,食料品
451,2117,ウェルネオシュガー,3050,食料品
452,211A,カドス・コーポレーション,2050,建設業
453,2120,LIFULL,9050,サービス業
454,2121,MIXI,5250,情報・通信業
455,2122,インタースペース,9050,サービス業
456,2124,ジェイエイシーリクルートメント,9050,サービス業
457,2127,日本M&Aセンターホールディングス,9050,サービス業
458,212A,フィットイージー,9050,サービス業
459,2130,メンバーズ,9050,サービス業
460,2134,北浜キャピタルパートナーズ,9050,サービス業
461,2136,ヒップ,9050,サービス業
462,2138,クルーズ,5250,情報・通信業
463,2139,中広,9050,サービス業
465,2146,UTグループ,9050,サービス業
466,2148,アイティメディア,9050,サービス業
467,2152,幼児活動研究会,9050,サービス業
468,2153,E・Jホールディングス,9050,サービス業
469,2154,オープンアップグループ,9050,サービス業
470,2156,セーラー広告,9050,サービス業
471,2157,コシダカホールディングス,9050,サービス業
472,2158,FRONTEO,9050,サービス業
473,215A,タイミー,9050,サービス業
474,2160,ジーエヌアイグループ,3250,医薬品
475,2162,nms　ホールディングス,9050,サービス業
476,2163,アルトナー,9050,サービス業
477,2164,地域新聞社,9050,サービス業
478,2168,パソナグループ,9050,サービス業
479,2169,CDS,9050,サービス業
480,216A,ライフクリエイト,6100,小売業
481,2170,リンクアンドモチベーション,9050,サービス業
482,2173,博展,9050,サービス業
483,2175,エス・エム・エス,9050,サービス業
484,2179,成学社,9050,サービス業
485,217A,サポート,9050,サービス業
486,2180,サニーサイドアップグループ,9050,サービス業
487,2181,パーソルホールディングス,9050,サービス業
488,2183,リニカル,9050,サービス業
489,2185,シイエム・シイ,9050,サービス業
490,2186,ソーバル,9050,サービス業
491,218A,Liberaware,3750,精密機器
492,2193,クックパッド,9050,サービス業
493,2195,アミタホールディングス,9050,サービス業
494,2198,アイ・ケイ・ケイホールディングス,9050,サービス業
495,219A,Heartseed,3250,医薬品
496,2201,森永製菓,3050,食料品
497,2204,中村屋,3050,食料品
498,2206,江崎グリコ,3050,食料品
499,2207,meito,3050,食料品
500,2208,ブルボン,3050,食料品
501,2209,井村屋グループ,3050,食料品
502,220A,Faber　Company,5250,情報・通信業
503,2211,不二家,3050,食料品
504,2212,山崎製パン,3050,食料品
505,2215,第一屋製パン,3050,食料品
506,2216,カンロ,3050,食料品
507,2217,モロゾフ,3050,食料品
509,2220,亀田製菓,3050,食料品
510,2221,岩塚製菓,3050,食料品
511,2222,寿スピリッツ,3050,食料品
512,2224,コモ,3050,食料品
513,2226,湖池屋,3050,食料品
514,2229,カルビー,3050,食料品
515,222A,NICS,5250,情報・通信業
543,2264,森永乳業,3050,食料品
544,2266,六甲バター,3050,食料品
545,2267,ヤクルト本社,3050,食料品
546,2268,B-R　サーティワン　アイスクリーム,3050,食料品
547,2269,明治ホールディングス,3050,食料品
548,226A,勝美ジャパン,3050,食料品
549,2270,雪印メグミルク,3050,食料品
550,227A,INSIGHT　LAB,5250,情報・通信業
551,2281,プリマハム,3050,食料品
552,2282,日本ハム,3050,食料品
553,2286,林兼産業,3050,食料品
554,2288,丸大食品,3050,食料品
555,228A,オプロ,5250,情報・通信業
556,2291,福留ハム,3050,食料品
557,2292,S　Foods,3050,食料品
558,2293,滝沢ハム,3050,食料品
559,2294,柿安本店,3050,食料品
560,2296,伊藤ハム米久ホールディングス,3050,食料品
561,229A,アスミホールディングス,2050,建設業
562,2300,きょくとう,9050,サービス業
563,2301,学情,9050,サービス業
564,2303,ドーン,5250,情報・通信業
565,2304,CSSホールディングス,9050,サービス業
566,2305,スタジオアリス,9050,サービス業
567,2307,クロスキャット,5250,情報・通信業
568,2311,エプコ,9050,サービス業
569,2315,CAICA　DIGITAL,5250,情報・通信業
570,2317,システナ,5250,情報・通信業
571,2321,ソフトフロントホールディングス,5250,情報・通信業
572,2323,fonfun,5250,情報・通信業
573,2325,NJS,9050,サービス業
574,2326,デジタルアーツ,5250,情報・通信業
575,2327,日鉄ソリューションズ,5250,情報・通信業
576,2329,東北新社,5250,情報・通信業
577,2330,フォーサイド,5250,情報・通信業
578,2331,ALSOK,9050,サービス業
579,2332,クエスト,5250,情報・通信業
580,2334,イオレ,9050,サービス業
581,2335,キューブシステム,5250,情報・通信業
582,2337,いちご,8050,不動産業
583,2338,クオンタムソリューションズ,5250,情報・通信業
585,2340,極楽湯ホールディングス,9050,サービス業
586,2341,アルバイトタイムス,9050,サービス業
587,2342,トランスジェニックグループ,9050,サービス業
588,2344,平安レイサービス,9050,サービス業
589,2345,HODL1,5250,情報・通信業
590,2349,エヌアイデイ,5250,情報・通信業
592,2351,ASJ,5250,情報・通信業
593,2353,日本駐車場開発,8050,不動産業
594,2354,YE　DIGITAL,5250,情報・通信業
595,2359,コア,5250,情報・通信業
598,2370,メディネット,9050,サービス業
599,2371,カカクコム,9050,サービス業
600,2373,ケア21,9050,サービス業
601,2375,ギグワークス,9050,サービス業
602,2376,サイネックス,9050,サービス業
603,2378,ルネサンス,9050,サービス業
604,2379,ディップ,9050,サービス業
606,2384,SBSホールディングス,5050,陸運業
607,2385,総医研ホールディングス,9050,サービス業
608,2388,ウェッジホールディングス,7200,その他金融業
610,2391,プラネット,9050,サービス業
611,2393,日本ケアサプライ,9050,サービス業
612,2395,新日本科学,9050,サービス業
613,239A,バレッグス,8050,不動産業
614,2404,鉄人化ホールディングス,9050,サービス業
615,2408,KG情報,9050,サービス業
616,2410,キャリアデザインセンター,9050,サービス業
617,2411,ゲンダイエージェンシー,5250,情報・通信業
618,2413,エムスリー,9050,サービス業
619,2415,ヒューマンホールディングス,9050,サービス業
620,2418,ツカダ・グローバルホールディング,9050,サービス業
621,241A,ROXX,5250,情報・通信業
622,2424,ブラス,9050,サービス業
623,2425,ケアサービス,9050,サービス業
624,2428,ウェルネット,9050,サービス業
625,2429,ワールドホールディングス,9050,サービス業
626,2432,ディー・エヌ・エー,5250,情報・通信業
627,2433,博報堂DYホールディングス,9050,サービス業
628,2435,シダー,9050,サービス業
629,2436,共同ピーアール,9050,サービス業
630,2437,Shinwa　Wise　Holdings,9050,サービス業
631,2438,アスカネット,9050,サービス業
632,243A,トップス,3050,食料品
633,2440,ぐるなび,9050,サービス業
634,2445,タカミヤ,9050,サービス業
635,2449,プラップジャパン,9050,サービス業
636,244A,グロースエクスパートナーズ,5250,情報・通信業
637,2452,コンピュータマインド,5250,情報・通信業
638,2454,オールアバウト,9050,サービス業
639,2459,アウンコンサルティング,9050,サービス業
640,245A,INGS,6100,小売業
641,2461,ファンコミュニケーションズ,9050,サービス業
642,2462,ライク,9050,サービス業
643,2464,Aoba‐BBT,9050,サービス業
644,2469,ヒビノ,9050,サービス業
645,246A,アスア,9050,サービス業
646,2471,エスプール,9050,サービス業
647,2475,WDBホールディングス,9050,サービス業
648,2477,手間いらず,5250,情報・通信業
649,2479,ジェイテック,9050,サービス業
650,247A,Aiロボティクス,3200,化学
651,2480,システム・ロケーション,5250,情報・通信業
652,2481,タウンニュース社,9050,サービス業
653,2483,翻訳センター,9050,サービス業
654,2484,出前館,5250,情報・通信業
655,2485,ティア,9050,サービス業
656,2488,JTP,9050,サービス業
657,2489,アドウェイズ,9050,サービス業
658,248A,キッズスター,5250,情報・通信業
659,2491,バリューコマース,9050,サービス業
660,2492,インフォマート,9050,サービス業
661,2493,イーサポートリンク,9050,サービス業
662,2497,ユナイテッド,9050,サービス業
663,2498,オリエンタルコンサルタンツホールディングス,9050,サービス業
664,2499,日本和装ホールディングス,9050,サービス業
665,249A,ヒューマンアジャスト,9050,サービス業
666,2501,サッポロホールディングス,3050,食料品
667,2502,アサヒグループホールディングス,3050,食料品
668,2503,キリンホールディングス,3050,食料品
669,250A,シマダヤ,3050,食料品
680,251A,ニューロマジック,9050,サービス業
691,252A,ウェッジ,6100,小売業
693,2531,宝ホールディングス,3050,食料品
694,2533,オエノンホールディングス,3050,食料品
695,253A,ETSグループ,2050,建設業
696,2540,養命酒製造,3050,食料品
697,254A,AIフュージョンキャピタルグループ,7100,証券、商品先物取引業
706,255A,ジーエルテクノホールディングス,3750,精密機器
717,256A,飛島ホールディングス,2050,建設業
718,2573,北海道コカ・コーラボトリング,3050,食料品
719,2579,コカ・コーラ　ボトラーズジャパンホールディングス,3050,食料品
721,2585,ライフドリンク　カンパニー,3050,食料品
722,2586,フルッタフルッタ,3050,食料品
723,2587,サントリー食品インターナショナル,3050,食料品
724,2588,プレミアムウォーターホールディングス,3050,食料品
726,2590,ダイドーグループホールディングス,3050,食料品
727,2593,伊藤園,3050,食料品
728,25935,伊藤園第1種優先株式,3050,食料品
729,2594,キーコーヒー,3050,食料品
730,2597,ユニカフェ,3050,食料品
731,2602,日清オイリオグループ,3050,食料品
732,2607,不二製油,3050,食料品
733,2612,かどや製油,3050,食料品
734,2613,J-オイルミルズ,3050,食料品
735,261A,日水コン,9050,サービス業
746,262A,インターメスティック,6100,小売業
756,263A,デジタルキューブ,5250,情報・通信業
767,264A,Schoo,9050,サービス業
768,2652,まんだらけ,6100,小売業
769,2653,イオン九州,6100,小売業
770,2654,アスモ,6100,小売業
771,2656,ベクターホールディングス,6100,小売業
772,2659,サンエー,6100,小売業
773,265A,Hmcomm,5250,情報・通信業
774,2664,カワチ薬品,6100,小売業
775,2666,オートウェーブ,6100,小売業
776,2667,イメージ　ワン,6050,卸売業
777,2668,タビオ,6050,卸売業
778,2669,カネ美食品,6100,小売業
779,266A,グローカルマーケティング,9050,サービス業
780,2670,エービーシー・マート,6100,小売業
781,2673,夢みつけ隊,6100,小売業
782,2674,ハードオフコーポレーション,6100,小売業
783,2676,高千穂交易,6050,卸売業
784,2678,アスクル,6100,小売業
785,267A,トワライズ,7200,その他金融業
786,2681,ゲオホールディングス,6100,小売業
787,2683,魚喜,6100,小売業
788,2685,アンドエスティHD,6100,小売業
789,2686,ジーフット,6100,小売業
790,2687,シー・ヴイ・エス・ベイエリア,9050,サービス業
791,2689,オルバヘルスケアホールディングス,6050,卸売業
792,268A,リガク・ホールディングス,3750,精密機器
793,2692,伊藤忠食品,6050,卸売業
794,2693,YKT,6050,卸売業
795,2694,焼肉坂井ホールディングス,6100,小売業
796,2695,くら寿司,6100,小売業
797,2698,キャンドゥ,6100,小売業
798,269A,Sapeet,5250,情報・通信業
799,2700,木徳神糧,6050,卸売業
800,2702,日本マクドナルドホールディングス,6100,小売業
801,2705,大戸屋ホールディングス,6100,小売業
802,2708,久世,6050,卸売業
803,271A,アクセリア,5250,情報・通信業
804,2721,ジェイホールディングス,6050,卸売業
805,2722,IKホールディングス,6100,小売業
806,2726,パルグループホールディングス,6100,小売業
807,2730,エディオン,6100,小売業
808,2733,あらた,6050,卸売業
809,2734,サーラコーポレーション,6100,小売業
810,2735,ワッツ,6100,小売業
811,2736,フェスタリアホールディングス,6100,小売業
812,2737,トーメンデバイス,6050,卸売業
814,2742,ハローズ,6100,小売業
815,2747,北雄ラッキー,6100,小売業
816,2749,JPホールディングス,9050,サービス業
817,274A,ガーデン,6100,小売業
818,2750,石光商事,6050,卸売業
819,2751,テンポスホールディングス,6050,卸売業
820,2752,フジオフードグループ本社,6100,小売業
821,2753,あみやき亭,6100,小売業
822,2760,東京エレクトロン　デバイス,6050,卸売業
823,2762,SANKO　MARKETING　FOODS,6100,小売業
824,2763,エフティグループ,6050,卸売業
825,2764,ひらまつ,6100,小売業
826,2767,円谷フィールズホールディングス,6050,卸売業
827,2768,双日,6050,卸売業
828,2769,ヴィレッジヴァンガードコーポレーション,6100,小売業
829,276A,ククレブ・アドバイザーズ,8050,不動産業
830,2776,新都ホールディングス,6050,卸売業
831,2778,パレモ・ホールディングス,6100,小売業
832,277A,グロービング,9050,サービス業
833,2780,コメ兵ホールディングス,6100,小売業
834,2782,セリア,6100,小売業
835,2784,アルフレッサ　ホールディングス,6050,卸売業
836,2788,アップルインターナショナル,6050,卸売業
837,2789,カルラ,6100,小売業
838,278A,Terra　Drone,3750,精密機器
839,2790,ナフコ,6100,小売業
840,2791,大黒天物産,6100,小売業
841,2792,ハニーズホールディングス,6100,小売業
842,2795,日本プリメックス,6050,卸売業
843,2796,ファーマライズホールディングス,6100,小売業
844,2798,ワイズテーブルコーポレーション,6100,小売業
845,279A,インターグ,9050,サービス業
846,2801,キッコーマン,3050,食料品
847,2802,味の素,3050,食料品
848,2804,ブルドックソース,3050,食料品
849,2805,ヱスビー食品,3050,食料品
850,2806,ユタカフーズ,3050,食料品
851,2809,キユーピー,3050,食料品
852,280A,TMH,6050,卸売業
853,2810,ハウス食品グループ本社,3050,食料品
854,2811,カゴメ,3050,食料品
855,2813,和弘食品,3050,食料品
856,2814,佐藤食品工業,3050,食料品
857,2815,アリアケジャパン,3050,食料品
858,2816,ダイショー,3050,食料品
859,2818,ピエトロ,3050,食料品
860,2819,エバラ食品工業,3050,食料品
861,281A,インフォメティス,5250,情報・通信業
862,2820,やまみ,3050,食料品
864,2831,はごろもフーズ,3050,食料品
880,284A,フクヤ建設,2050,建設業
890,285A,キオクシアホールディングス,3650,電気機器
900,286A,ユカリア,9050,サービス業
902,2871,ニチレイ,3050,食料品
903,2872,セイヒョー,3050,食料品
904,2874,横浜冷凍,6050,卸売業
905,2875,東洋水産,3050,食料品
906,2876,デルソーレ,3050,食料品
907,2877,日東ベスト,3050,食料品
908,287A,黒田グループ,6050,卸売業
909,2882,イートアンドホールディングス,3050,食料品
910,2883,大冷,3050,食料品
911,2884,ヨシムラ・フード・ホールディングス,3050,食料品
912,288A,ラクサス・テクノロジーズ,9050,サービス業
913,2892,日本食品化工,3050,食料品
914,2894,石井食品,3050,食料品
915,2897,日清食品ホールディングス,3050,食料品
916,2901,ウェルディッシュ,3050,食料品
917,2903,シノブフーズ,3050,食料品
918,2904,一正蒲鉾,3050,食料品
919,2907,あじかん,3050,食料品
920,2908,フジッコ,3050,食料品
921,290A,Synspective,5250,情報・通信業
922,2910,ロック・フィールド,3050,食料品
923,2911,旭松食品,3050,食料品
924,2914,日本たばこ産業,3050,食料品
925,2915,ケンコーマヨネーズ,3050,食料品
926,2916,仙波糖化工業,3050,食料品
927,2917,大森屋,3050,食料品
928,2918,わらべや日洋ホールディングス,3050,食料品
929,291A,リスキル,9050,サービス業
930,2922,なとり,3050,食料品
931,2923,サトウ食品,3050,食料品
932,2924,イフジ産業,3050,食料品
933,2926,篠崎屋,3050,食料品
934,2927,AFC-HDアムスライフサイエンス,3050,食料品
935,2929,ファーマフーズ,3050,食料品
936,292A,エスアイイー,9050,サービス業
937,2930,北の達人コーポレーション,3200,化学
938,2931,ユーグレナ,3050,食料品
939,2932,STIフードホールディングス,3050,食料品
940,2933,紀文食品,3050,食料品
941,2934,ジェイフロンティア,3050,食料品
942,2935,ピックルスホールディングス,3050,食料品
943,2936,ベースフード,3050,食料品
944,2937,サンクゼール,3050,食料品
945,2938,オカムラ食品工業,3050,食料品
946,293A,BABY　JOB,6100,小売業
949,2961,日本調理機,3550,金属製品
950,2962,テクニスコ,3550,金属製品
951,296A,令和アカウンティング・ホールディングス,9050,サービス業
952,2970,GLC　GROUP,8050,不動産業
955,2975,スター・マイカ・ホールディングス,8050,不動産業
956,2978,ツクルバ,8050,不動産業
958,297A,アルピコホールディングス,6100,小売業
959,2980,SREホールディングス,8050,不動産業
960,2981,ランディックス,8050,不動産業
961,2982,ADワークスグループ,8050,不動産業
962,2983,アールプランナー,8050,不動産業
963,2984,ヤマイチエステート,8050,不動産業
964,2985,ファーストステージ,8050,不動産業
965,2986,LAホールディングス,8050,不動産業
967,298A,GVA　TECH,5250,情報・通信業
968,2990,アイダ設計,8050,不動産業
969,2991,ランドネット,8050,不動産業
970,2992,アーバンライク,8050,不動産業
971,2993,長栄,8050,不動産業
972,2994,アンサーホールディングス,8050,不動産業
973,2995,ジェイレックス・コーポレーション,8050,不動産業
974,2997,ストレージ王,8050,不動産業
975,2998,クリアル,8050,不動産業
976,2999,ホームポジション,8050,不動産業
977,299A,クラシル,9050,サービス業
978,3001,片倉工業,3100,繊維製品
979,3002,グンゼ,3100,繊維製品
980,3003,ヒューリック,8050,不動産業
981,3004,神栄,6050,卸売業
982,300A,MIC,9050,サービス業
983,3010,ポラリス・ホールディングス,9050,サービス業
984,3011,バナーズ,6100,小売業
985,301A,インデックス,8050,不動産業
986,3020,アプライド,6100,小売業
987,3021,パシフィックネット,9050,サービス業
988,3023,ラサ商事,6050,卸売業
989,3024,クリエイト,6050,卸売業
990,3028,アルペン,6100,小売業
991,302A,ビースタイルホールディングス,9050,サービス業
992,3030,ハブ,6100,小売業
993,3031,ラクーンホールディングス,5250,情報・通信業
994,3034,クオールホールディングス,6100,小売業
995,3035,ケイティケイ,6050,卸売業
996,3036,アルコニックス,6050,卸売業
997,3038,神戸物産,6050,卸売業
998,303A,visumo,5250,情報・通信業
999,3040,ソリトンシステムズ,5250,情報・通信業
1000,3041,ビューティカダンホールディングス,6050,卸売業
1001,3042,セキュアヴェイル,5250,情報・通信業
1002,3045,カワサキ,6050,卸売業
1003,3046,ジンズホールディングス,6100,小売業
1004,3048,ビックカメラ,6100,小売業
1005,304A,フォルシア,5250,情報・通信業
1006,3050,DCMホールディングス,6100,小売業
1007,3053,ペッパーフードサービス,6100,小売業
1008,3054,ハイパー,6050,卸売業
1009,3058,三洋堂ホールディングス,6100,小売業
1010,3059,ヒラキ,6100,小売業
1011,305A,ダブルツリー,6100,小売業
1012,3063,ジェイグループホールディングス,6100,小売業
1013,3064,MonotaRO,6100,小売業
1014,3065,ライフフーズ,6100,小売業
1015,3067,東京一番フーズ,6100,小売業
1016,3068,WDI,6100,小売業
1017,3069,JFLAホールディングス,3050,食料品
1018,3070,ジェリービーンズグループ,6050,卸売業
1019,3071,ストリーム,6100,小売業
1020,3075,銚子丸,6100,小売業
1021,3076,あい　ホールディングス,6050,卸売業
1022,3077,ホリイフードサービス,6100,小売業
1023,3079,ディーブイエックス,6050,卸売業
1024,307A,ハウジング・スタッフ,2050,建設業
1025,3080,ジェーソン,6100,小売業
1026,3082,きちりホールディングス,6100,小売業
1027,3083,スターシーズ,6100,小売業
1028,3086,J.フロント　リテイリング,6100,小売業
1029,3087,ドトール・日レスホールディングス,6100,小売業
1030,3088,マツキヨココカラ&カンパニー,6100,小売業
1031,3089,テクノアルファ,6050,卸売業
1032,308A,ぽすとめいとホールディングス,9050,サービス業
1033,3091,ブロンコビリー,6100,小売業
1034,3092,ZOZO,6100,小売業
1035,3093,トレジャー・ファクトリー,6100,小売業
1036,3096,オーシャンシステム,6100,小売業
1037,3097,物語コーポレーション,6100,小売業
1038,3099,三越伊勢丹ホールディングス,6100,小売業
1039,309A,コスモス調剤,6100,小売業
1040,3101,東洋紡,3200,化学
1041,3103,ユニチカ,3100,繊維製品
1042,3104,富士紡ホールディングス,3100,繊維製品
1043,3105,日清紡ホールディングス,3650,電気機器
