,コード,銘柄名,33業種コード,33業種区分
3263,7222,日産車体,3700,輸送用機器
3264,7224,新明和工業,3700,輸送用機器
3265,7226,極東開発工業,3700,輸送用機器
3266,7228,デイトナ,3700,輸送用機器
3267,7229,ユタカ技研,3700,輸送用機器
3268,7231,トピー工業,3700,輸送用機器
3269,7235,東京ラヂエーター製造,3700,輸送用機器
3270,7236,ティラド,3700,輸送用機器
3271,7238,曙ブレーキ工業,3700,輸送用機器
3272,7239,タチエス,3700,輸送用機器
3273,7240,NOK,3700,輸送用機器
3274,7241,フタバ産業,3700,輸送用機器
3275,7242,カヤバ,3700,輸送用機器
3276,7244,市光工業,3650,電気機器
3277,7245,大同メタル工業,3700,輸送用機器
3278,7246,プレス工業,3700,輸送用機器
3279,7247,ミクニ,3700,輸送用機器
3280,7250,太平洋工業,3700,輸送用機器
3281,7254,ユニバンス,3700,輸送用機器
3282,7255,桜井製作所,3700,輸送用機器
3283,7256,河西工業,3700,輸送用機器
3284,7259,アイシン,3700,輸送用機器
3285,7261,マツダ,3700,輸送用機器
3286,7264,ムロコーポレーション,3700,輸送用機器
3287,7265,エイケン工業,3700,輸送用機器
3288,7266,今仙電機製作所,3700,輸送用機器
3289,7267,本田技研工業,3700,輸送用機器
3290,7269,スズキ,3700,輸送用機器
3291,7270,SUBARU,3700,輸送用機器
3292,7271,安永,3700,輸送用機器
3293,7272,ヤマハ発動機,3700,輸送用機器
3294,7273,イクヨ,3700,輸送用機器
3295,7276,小糸製作所,3650,電気機器
3296,7277,TBK,3700,輸送用機器
3297,7278,エクセディ,3700,輸送用機器
3298,7279,ハイレックスコーポレーション,3700,輸送用機器
3299,7280,ミツバ,3650,電気機器
3300,7282,豊田合成,3700,輸送用機器
3301,7283,愛三工業,3700,輸送用機器
3302,7284,盟和産業,3700,輸送用機器
3303,7287,日本精機,3700,輸送用機器
3304,7291,日本プラスト,3700,輸送用機器
3305,7292,村上開明堂,3700,輸送用機器
3306,7294,ヨロズ,3700,輸送用機器
3307,7296,エフ・シー・シー,3700,輸送用機器
3308,7297,カーメイト,3700,輸送用機器
3309,7299,フジオーゼックス,3700,輸送用機器
3310,7305,新家工業,3450,鉄鋼
3311,7309,シマノ,3700,輸送用機器
3312,7313,テイ・エス　テック,3700,輸送用機器
3313,7314,小田原機器,3700,輸送用機器
3314,7317,松屋アールアンドディ,3700,輸送用機器
3315,7318,セレンディップ・ホールディングス,3700,輸送用機器
3316,7320,Solvvy,7200,その他金融業
3317,7322,三十三フィナンシャルグループ,7050,銀行業
3318,7325,アイリックコーポレーション,7150,保険業
3319,7326,SBIインシュアランスグループ,7150,保険業
3320,7327,第四北越フィナンシャルグループ,7050,銀行業
3321,7337,ひろぎんホールディングス,7050,銀行業
3322,7343,ブロードマインド,7150,保険業
3323,7345,アイ・パートナーズフィナンシャル,7200,その他金融業
3324,7347,マーキュリアホールディングス,7100,証券、商品先物取引業
3325,7350,おきなわフィナンシャルグループ,7050,銀行業
3326,7351,グッドパッチ,9050,サービス業
3327,7352,TWOSTONE&Sons,9050,サービス業
3328,7353,KIYOラーニング,9050,サービス業
3329,7354,ダイレクトマーケティングミックス,9050,サービス業
3330,7355,一寸房,9050,サービス業
3331,7356,Retty,9050,サービス業
3332,7357,ジオコード,9050,サービス業
3333,7358,ポピンズ,9050,サービス業
3334,7359,東京通信グループ,9050,サービス業
3335,7360,オンデック,9050,サービス業
3336,7361,ヒューマンクリエイションホールディングス,9050,サービス業
3337,7362,T.S.I,9050,サービス業
3338,7363,ベビーカレンダー,9050,サービス業
3339,7364,琉球アスティーダスポーツクラブ,9050,サービス業
3340,7366,LITALICO,9050,サービス業
3341,7367,セルム,9050,サービス業
3342,7368,表示灯,9050,サービス業
3343,7369,メイホーホールディングス,9050,サービス業
3344,7370,Enjin,9050,サービス業
3345,7371,Zenken,9050,サービス業
3346,7372,デコルテ・ホールディングス,9050,サービス業
3347,7373,アイドマ・ホールディングス,9050,サービス業
3348,7374,コンフィデンス・インターワークス,9050,サービス業
3349,7375,リファインバースグループ,9050,サービス業
3350,7376,BCC,9050,サービス業
3351,7377,DNホールディングス,9050,サービス業
3352,7378,アシロ,9050,サービス業
3353,7380,十六フィナンシャルグループ,7050,銀行業
3354,7381,CCIグループ,7050,銀行業
3355,7383,ネットプロテクションズホールディングス,7200,その他金融業
3356,7384,プロクレアホールディングス,7050,銀行業
3357,7388,FPパートナー,7150,保険業
3358,7389,あいちフィナンシャルグループ,7050,銀行業
3359,7399,ナンシン,3700,輸送用機器
3360,7409,AeroEdge,3700,輸送用機器
3361,7412,アトム,6100,小売業
3362,7413,創健社,6050,卸売業
3363,7414,小野建,6050,卸売業
3364,7416,はるやまホールディングス,6100,小売業
3365,7417,南陽,6050,卸売業
3366,7419,ノジマ,6100,小売業
